,artist_id,genre
234,6WykS91bn7CcqhsnUsoWuX,comedy
235,6WykS91bn7CcqhsnUsoWuX,deep comedy
236,6WykS91bn7CcqhsnUsoWuX,new comedy
237,7ixjaiJXnC2cxrbIE3WugD,canadian modern jazz
238,5vzP98uJshmJE7tpNwYIgX,doujin
239,0cmBbO2sr4w0rRGt3rKvs6,modern ska punk
240,0cmBbO2sr4w0rRGt3rKvs6,punk
241,0cmBbO2sr4w0rRGt3rKvs6,ska
242,0cmBbO2sr4w0rRGt3rKvs6,ska punk
243,0cmBbO2sr4w0rRGt3rKvs6,skate punk
244,3FMPtr5gEBAjsKxRbfc1kg,mississippi indie
245,2aOoD3zsuYforFcDvUpZoH,bass trap
246,2aOoD3zsuYforFcDvUpZoH,electronic trap
247,2aOoD3zsuYforFcDvUpZoH,future bass
248,2aOoD3zsuYforFcDvUpZoH,pop edm
249,2aOoD3zsuYforFcDvUpZoH,traprun
250,2aOoD3zsuYforFcDvUpZoH,vapor twitch
251,1TgqnAbUXzmLHEW0YFbROK,free jazz
252,1TgqnAbUXzmLHEW0YFbROK,jazz trio
253,6VElDWADnQooLTpLBhhVux,italian opera
254,4yR1GCYxY2lgkvPUhUM8Ws,dominican pop
255,4yR1GCYxY2lgkvPUhUM8Ws,rap dominicano
256,2fi9ZIBcIYhQnQfqNNc96M,pop reggaeton
257,7EIbKyiLnEJ1Y074UIUyZJ,viral pop
258,51YACffgZvQwjs8J4ZVDQF,soul flow
259,51YACffgZvQwjs8J4ZVDQF,underground hip hop
260,2N4EYkIlG1kv25g6Wv8LGI,alternative hip hop
261,2N4EYkIlG1kv25g6Wv8LGI,atl hip hop
262,2N4EYkIlG1kv25g6Wv8LGI,conscious hip hop
263,2N4EYkIlG1kv25g6Wv8LGI,escape room
264,2N4EYkIlG1kv25g6Wv8LGI,political hip hop
265,2N4EYkIlG1kv25g6Wv8LGI,southern hip hop
266,4LTaFNJmsKqNvxGVhOVBXI,dinner jazz
267,4LTaFNJmsKqNvxGVhOVBXI,japanese instrumental
268,4LTaFNJmsKqNvxGVhOVBXI,jazz trio
269,0kjCvirhAHq3JMex6bqEBZ,rock drums
270,5M0jUxPRzeOuhtiirkZX5i,canadian soundtrack
271,7e1BNCygl2Gf7CX8LrByPv,big room
272,7e1BNCygl2Gf7CX8LrByPv,deep big room
273,7e1BNCygl2Gf7CX8LrByPv,edm
274,7e1BNCygl2Gf7CX8LrByPv,electro house
275,7e1BNCygl2Gf7CX8LrByPv,progressive electro house
276,7e1BNCygl2Gf7CX8LrByPv,progressive house
277,0XIKGBo9PnK1ApI5tZA60d,deep pop r&b
278,0XIKGBo9PnK1ApI5tZA60d,pop
279,0XIKGBo9PnK1ApI5tZA60d,pop rap
280,0XIKGBo9PnK1ApI5tZA60d,r&b
281,0XIKGBo9PnK1ApI5tZA60d,rap
282,0XIKGBo9PnK1ApI5tZA60d,rap latina
283,0g3NiCRhEv7M4SEDMrpItN,alternative dance
284,0g3NiCRhEv7M4SEDMrpItN,electronica
285,0g3NiCRhEv7M4SEDMrpItN,indietronica
286,0g3NiCRhEv7M4SEDMrpItN,new rave
287,0g3NiCRhEv7M4SEDMrpItN,oxford indie
288,298i00ena8XMnm9O3qlHtU,garage pop
289,298i00ena8XMnm9O3qlHtU,power pop
290,298i00ena8XMnm9O3qlHtU,pub rock
291,298i00ena8XMnm9O3qlHtU,punk blues
292,3hSFS64223jyO9Ck66rLOf,indie garage rock
293,3hSFS64223jyO9Ck66rLOf,nashville indie
294,6vfolayguXSXvi0ixntvGU,french orchestra
295,5TgQ66WuWkoQ2xYxaSTnVP,belgian edm
296,5TgQ66WuWkoQ2xYxaSTnVP,drum and bass
297,5TgQ66WuWkoQ2xYxaSTnVP,liquid funk
298,3mRERvxAET9zPx7kL90Srv,classical soprano
299,1By9QBFnjZAoI83BZppHlt,contemporary country
300,1By9QBFnjZAoI83BZppHlt,country
301,1By9QBFnjZAoI83BZppHlt,country road
302,1By9QBFnjZAoI83BZppHlt,modern country rock
303,0tRFWXqKBBQcu5oFVOgVzX,indie electropop
304,0tRFWXqKBBQcu5oFVOgVzX,indie poptimism
305,0tRFWXqKBBQcu5oFVOgVzX,pop
306,6tV9ApzzUMjXsFNHpgZmvA,corrido
307,6tV9ApzzUMjXsFNHpgZmvA,corridos tumbados
308,6tV9ApzzUMjXsFNHpgZmvA,regional mexican pop
309,1gkcZQArk5rV8uBwG8y5FX,disney
310,1gkcZQArk5rV8uBwG8y5FX,hollywood
311,1gkcZQArk5rV8uBwG8y5FX,movie tunes
312,0hU5urLse5h1Z0b4zQkovL,modern blues rock
313,0hU5urLse5h1Z0b4zQkovL,psychedelic doom
314,0hU5urLse5h1Z0b4zQkovL,retro metal
315,0hU5urLse5h1Z0b4zQkovL,space rock
316,0hU5urLse5h1Z0b4zQkovL,stoner metal
317,0hU5urLse5h1Z0b4zQkovL,stoner rock
318,0hU5urLse5h1Z0b4zQkovL,swedish stoner rock
319,5IHqlcCbQkyhWl0KmIwgeq,post-teen pop
320,5IHqlcCbQkyhWl0KmIwgeq,uk pop
321,6qlpFH9e4sZ52tAPy2KmLz,classic soul
322,0a6IhwoUblA8AyUOeFtr03,soundtrack
323,1JRaz02BAKRaVOfDCokgo3,world chill
324,34W7ZCX0LZeJd8q6boKGOk,bebop
325,34W7ZCX0LZeJd8q6boKGOk,contemporary post-bop
326,34W7ZCX0LZeJd8q6boKGOk,cool jazz
327,34W7ZCX0LZeJd8q6boKGOk,hard bop
328,34W7ZCX0LZeJd8q6boKGOk,jazz
329,34W7ZCX0LZeJd8q6boKGOk,jazz saxophone
330,34W7ZCX0LZeJd8q6boKGOk,soul jazz
331,34W7ZCX0LZeJd8q6boKGOk,stride
332,34W7ZCX0LZeJd8q6boKGOk,swing
333,34W7ZCX0LZeJd8q6boKGOk,vocal jazz
334,6wuudWq7XpVutoFp4bsVDo,british orchestra
335,6wuudWq7XpVutoFp4bsVDo,classical performance
336,6wuudWq7XpVutoFp4bsVDo,orchestra
337,6ZWMXMg25PGVCaoYZXQSyn,freak folk
338,6ZWMXMg25PGVCaoYZXQSyn,post-rock
339,6ZWMXMg25PGVCaoYZXQSyn,slowcore
340,72McluarQZqpzSS95goQ0Q,canadian blues
341,2z6qOkQVyn7h3XzUuNlRlM,dub techno
342,3S79khDmqHqH3SudDjO6dV,k-rap
343,3Oim8XBPbznAa8Jj8QzNc8,alternative dance
344,3Oim8XBPbznAa8Jj8QzNc8,chillwave
345,3Oim8XBPbznAa8Jj8QzNc8,experimental pop
346,3Oim8XBPbznAa8Jj8QzNc8,indie pop
347,3Oim8XBPbznAa8Jj8QzNc8,indie rock
348,3Oim8XBPbznAa8Jj8QzNc8,indie surf
349,3Oim8XBPbznAa8Jj8QzNc8,indietronica
350,3Oim8XBPbznAa8Jj8QzNc8,nu gaze
351,3Oim8XBPbznAa8Jj8QzNc8,shimmer pop
352,4a0UP5sUQGKcn2QJnqMT0t,tropical
353,1YYJxpOXYk1z1WtqdeLMkn,bass house
354,1YYJxpOXYk1z1WtqdeLMkn,brostep
355,1YYJxpOXYk1z1WtqdeLMkn,catstep
356,1YYJxpOXYk1z1WtqdeLMkn,complextro
